bird,"also known as Aves, are a group of endothermic vertebrates, characterised by feathers, toothless beaked jaws, the laying of hard-shelled eggs, a high metabolic rate, a four-chambered heart, and a strong yet lightweight skeleton"
dog,"member of the genus Canis (canines), which forms part of the wolf-like canids, and is the most widely abundant terrestrial carnivore"
zebra,several species of African equids (horse family) united by their distinctive black-and-white striped coats
Bear,carnivoran mammals of the family Ursidae
Wolverine,"medium sized mammal that despite its bear-like appearance is most closely related to the weasel"
Squid,"marine cephalopod similar to the octopus"
Reindeer,"also known as the caribou in North America,[3] is a species of deer with circumpolar distribution, native to Arctic, sub-Arctic, tundra, boreal, and mountainous regions of northern Europe, Siberia, and North America."
Rhinoceros,"one of any five extant species of odd-toed ungulates in the family Rhinocerotidae, as well as any of the numerous extinct species. Two of the extant species are native to Africa and three to Southern Asia. The term 'rhinoceros' is often more broadly applied to now extinct relatives of the superfamily Rhinocerotoidea."
Rabbit,"normally eat some of their feces once a day, either early in the morning or late at night."
cat,"grand master who enslave mankind"
